concept_id,layer,metric,probe_score,probe_std,chance,lift_over_chance,p_value,n_permutations,majority_class_rate,n_samples
majlis_001,22,balanced_accuracy,0.866667,0.113039,0.5,0.366667,0.00995,200,0.6,20
majlis_001,23,balanced_accuracy,0.716667,0.113039,0.5,0.216667,0.064677,200,0.6,20
fazaa_001,0,balanced_accuracy,0.566667,0.226078,0.5,0.066667,0.318408,200,0.6,20
fazaa_001,1,balanced_accuracy,0.383333,0.145297,0.5,-0.116667,0.855721,200,0.6,20
fazaa_001,2,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,3,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,4,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,5,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
fazaa_001,6,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,7,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,8,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
fazaa_001,9,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,10,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,11,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,12,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,13,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,14,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
fazaa_001,15,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
fazaa_001,16,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
fazaa_001,17,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
fazaa_001,18,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
